Software : LSL_Kinect,Version : 1.0.5.2,Stream nominal rate : 15,Sequence Name : Circular Steering Task

TimeSpan,SpineBase_X,SpineBase_Y,SpineBase_Z,SpineBase_Conf,SpineMid_X,SpineMid_Y,SpineMid_Z,SpineMid_Conf,Neck_X,Neck_Y,Neck_Z,Neck_Conf,Head_X,Head_Y,Head_Z,Head_Conf,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,ShoulderLeft_Conf,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,ElbowLeft_Conf,WristLeft_X,WristLeft_Y,WristLeft_Z,WristLeft_Conf,HandLeft_X,HandLeft_Y,HandLeft_Z,HandLeft_Conf,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderRight_Conf,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,ElbowRight_Conf,WristRight_X,WristRight_Y,WristRight_Z,WristRight_Conf,HandRight_X,HandRight_Y,HandRight_Z,HandRight_Conf,HipLeft_X,HipLeft_Y,HipLeft_Z,HipLeft_Conf,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,KneeLeft_Conf,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,AnkleLeft_Conf,FootLeft_X,FootLeft_Y,FootLeft_Z,FootLeft_Conf,HipRight_X,HipRight_Y,HipRight_Z,HipRight_Conf,KneeRight_X,KneeRight_Y,KneeRight_Z,KneeRight_Conf,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,AnkleRight_Conf,FootRight_X,FootRight_Y,FootRight_Z,FootRight_Conf,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineShoulder_Conf,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,HandTipLeft_Conf,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,ThumbLeft_Conf,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,HandTipRight_Conf,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ThumbRight_Conf
1604056708714.7141,0.123345285654068,-0.74393361806869507,1.6170427799224854,1,0.13202901184558868,-0.46014931797981262,1.6344131231307983,1,0.13897025585174561,-0.18151398003101349,1.637087345123291,1,0.12458385527133942,-0.037422593683004379,1.6441833972930908,1,-0.031702462583780289,-0.2909487783908844,1.6773848533630371,1,-0.064896874129772186,-0.51849931478500366,1.7906409502029419,1,-0.19780488312244415,-0.48382028937339783,1.6130319833755493,1,-0.22887475788593292,-0.4704611599445343,1.55583655834198,1,0.28901943564414978,-0.28900113701820374,1.5878642797470093,1,0.31536704301834106,-0.509067952632904,1.5058526992797852,1,0.26178991794586182,-0.65968263149261475,1.3511176109313965,1,0.26910904049873352,-0.65708637237548828,1.2148748636245728,1,0.04258543998003006,-0.729605495929718,1.5989400148391724,1,-0.045653961598873138,-0.67861640453338623,1.1598527431488037,0.5,-0.1300126314163208,-0.6394505500793457,0.75892585515975952,0.5,-0.15824729204177856,-0.60288161039352417,0.61473715305328369,0.5,0.19953972101211548,-0.73071908950805664,1.5752933025360107,1,0.2917233407497406,-0.60944151878356934,1.2183189392089844,1,0.41620922088623047,-0.46669095754623413,0.78595727682113647,0.5,0.38252520561218262,-0.42966443300247192,0.6393091082572937,0.5,0.137496680021286,-0.25048381090164185,1.6388709545135498,1,-0.252664178609848,-0.48848855495452881,1.4865709543228149,1,-0.27100035548210144,-0.46783450245857239,1.5610916614532471,1,0.26837500929832458,-0.67356234788894653,1.1585547924041748,0.5,0.28338032960891724,-0.62583732604980469,1.174423098564148,1
1604056708752.6169,0.12330536544322968,-0.74390143156051636,1.6170462369918823,1,0.13196761906147003,-0.46010324358940125,1.6343897581100464,1,0.13889586925506592,-0.181441992521286,1.637019157409668,1,0.12417863309383392,-0.037143170833587646,1.6441295146942139,1,-0.031773772090673447,-0.29090255498886108,1.6773648262023926,1,-0.065111011266708374,-0.51849323511123657,1.7893998622894287,1,-0.19889912009239197,-0.48336139321327209,1.6125800609588623,1,-0.22942434251308441,-0.47048795223236084,1.5559190511703491,1,0.28895407915115356,-0.28905525803565979,1.5877540111541748,1,0.315231591463089,-0.50942766666412354,1.505729079246521,1,0.28314414620399475,-0.61861461400985718,1.3127671480178833,1,0.27737501263618469,-0.65126621723175049,1.2065956592559815,1,0.042557943612337112,-0.72957462072372437,1.5989447832107544,1,-0.045649774372577667,-0.67860680818557739,1.1598489284515381,0.5,-0.12997855246067047,-0.6394609808921814,0.75891280174255371,0.5,-0.15823416411876679,-0.60290861129760742,0.61472773551940918,0.5,0.19948707520961762,-0.73068666458129883,1.5752940177917481,1,0.29176929593086243,-0.60946130752563477,1.2183291912078857,1,0.41638180613517761,-0.46677702665328979,0.78597795963287354,0.5,0.38268032670021057,-0.42976802587509155,0.639331579208374,0.5,0.13742339611053467,-0.25041818618774414,1.6388143301010132,1,-0.25062933564186096,-0.49039852619171143,1.482303261756897,1,-0.26910921931266785,-0.46337035298347473,1.5593147277832031,1,0.27931690216064453,-0.66423237323760986,1.1490905284881592,0.5,0.30345213413238525,-0.6335442066192627,1.1678260564804077,1
1604056708787.178,0.12324657291173935,-0.74383950233459473,1.6170381307601929,1,0.13185617327690125,-0.46000754833221436,1.6343221664428711,1,0.13873441517353058,-0.18129333853721619,1.6368505954742432,1,0.12388045340776444,-0.036912444978952408,1.6440004110336304,1,-0.031908053904771805,-0.29081648588180542,1.6772793531417847,1,-0.066532373428344727,-0.51877748966217041,1.78761625289917,1,-0.19840052723884583,-0.485000878572464,1.6090636253356934,1,-0.2294439971446991,-0.46952140331268311,1.5590757131576538,1,0.28877931833267212,-0.28893983364105225,1.5873969793319702,1,0.31518039107322693,-0.50943523645401,1.5056828260421753,1,0.27237093448638916,-0.62057948112487793,1.2580116987228394,1,0.27680420875549316,-0.65151530504226685,1.2057455778121948,1,0.042524866759777069,-0.72952890396118164,1.5989623069763184,1,-0.045657094568014145,-0.67869776487350464,1.1598465442657471,0.5,-0.12996111810207367,-0.63968169689178467,0.75889074802398682,0.5,-0.15829938650131226,-0.60316914319992065,0.61472582817077637,0.5,0.19938994944095612,-0.73059910535812378,1.5752431154251099,1,0.29184135794639587,-0.6094704270362854,1.218292236328125,1,0.41667070984840393,-0.46690964698791504,0.785957396030426,0.5,0.38289317488670349,-0.42993876338005066,0.6393204927444458,0.5,0.13727198541164398,-0.2502826452255249,1.6386725902557373,1,-0.25157302618026733,-0.48834776878356934,1.4785028696060181,1,-0.27284914255142212,-0.46514683961868286,1.5687500238418579,1,0.27946844696998596,-0.66621536016464233,1.1511130332946777,0.5,0.30785065889358521,-0.63903868198394775,1.1694445610046387,1
1604056708821.6482,0.1232074499130249,-0.74381136894226074,1.6170152425765991,1,0.13174419105052948,-0.45994341373443604,1.6342313289642334,1,0.13854438066482544,-0.18117399513721466,1.6366500854492188,1,0.12349700182676315,-0.036579340696334839,1.6438658237457275,1,-0.032046813517808914,-0.29069024324417114,1.6771938800811768,1,-0.090823136270046234,-0.50169003009796143,1.7785602807998657,1,-0.21797442436218262,-0.47486689686775208,1.5706652402877808,1,-0.2294856607913971,-0.4683835506439209,1.5610941648483276,1,0.28855758905410767,-0.28885984420776367,1.5870805978775024,1,0.3151511549949646,-0.509413480758667,1.5056767463684082,1,0.27251529693603516,-0.62115687131881714,1.2576655149459839,1,0.27822932600975037,-0.65145915746688843,1.2074927091598511,1,0.042517885565757751,-0.72951841354370117,1.5989599227905273,1,-0.045618742704391479,-0.67896491289138794,1.1598047018051148,0.5,-0.1298784464597702,-0.64021331071853638,0.75880891084671021,0.5,-0.15828995406627655,-0.6037476658821106,0.61466449499130249,0.5,0.19929419457912445,-0.73054581880569458,1.5751785039901733,1,0.29188808798789978,-0.60946530103683472,1.2182502746582031,1,0.41690012812614441,-0.4669654369354248,0.78594297170639038,0.5,0.383056640625,-0.43003684282302856,0.63931196928024292,0.5,0.13709947466850281,-0.25017735362052917,1.6385003328323364,1,-0.25069278478622437,-0.4915144145488739,1.49308180809021,1,-0.24133062362670898,-0.42704695463180542,1.5388387441635132,1,0.27856165170669556,-0.667054295539856,1.1525899171829224,0.5,0.31702655553817749,-0.64650958776474,1.1671764850616455,1
1604056708854.47,0.12303626537322998,-0.743779718875885,1.6169233322143555,1,0.13153350353240967,-0.45985966920852661,1.6339969635009766,1,0.13832522928714752,-0.1810029000043869,1.6362054347991943,1,0.12286748737096787,-0.036282554268836975,1.6430552005767822,1,-0.0322994664311409,-0.29059857130050659,1.676966667175293,1,-0.09264712780714035,-0.5009227991104126,1.7771478891372681,1,-0.21918410062789917,-0.47396257519721985,1.5688763856887817,1,-0.22710566222667694,-0.46550658345222473,1.5621601343154907,1,0.28832906484603882,-0.28896677494049072,1.5864901542663574,1,0.31501492857933044,-0.50950640439987183,1.5054370164871216,1,0.28467193245887756,-0.60827988386154175,1.270876407623291,1,0.27690458297729492,-0.65125495195388794,1.2045289278030396,1,0.042360719293355942,-0.72947800159454346,1.598847508430481,1,-0.045812346041202545,-0.67897450923919678,1.1596947908401489,0.5,-0.13010922074317932,-0.64027023315429688,0.758699357509613,0.5,-0.15861119329929352,-0.60387527942657471,0.61457532644271851,0.5,0.19911938905715942,-0.73052334785461426,1.575107216835022,1,0.29199540615081787,-0.60946464538574219,1.218248724937439,1,0.41736924648284912,-0.46699124574661255,0.78602892160415649,0.5,0.38344186544418335,-0.430132120847702,0.63940262794494629,0.5,0.13687750697135925,-0.25002983212471008,1.6381114721298218,1,-0.24892722070217133,-0.49541163444519043,1.4963204860687256,1,-0.2428106963634491,-0.42409908771514893,1.5391232967376709,1,0.27850919961929321,-0.66877275705337524,1.1546303033828735,0.5,0.3005351126194,-0.63516902923583984,1.1638435125350952,1
1604056708896.3606,0.12243965268135071,-0.74351030588150024,1.6160898208618164,1,0.13101287186145783,-0.45960187911987305,1.6331700086593628,1,0.13792885839939117,-0.18075776100158691,1.6354125738143921,1,0.12196426838636398,-0.035866983234882355,1.6417607069015503,1,-0.032660312950611115,-0.29047927260398865,1.6765470504760742,1,-0.094190493226051331,-0.49998894333839417,1.7739295959472656,1,-0.21985894441604614,-0.46725231409072876,1.5659136772155762,1,-0.21728824079036713,-0.45606040954589844,1.5619573593139648,1,0.28801017999649048,-0.28910106420516968,1.585301399230957,1,0.31449949741363525,-0.51005905866622925,1.5045462846755981,1,0.28261026740074158,-0.60947901010513306,1.2689152956008911,1,0.27714762091636658,-0.65023761987686157,1.2030291557312012,1,0.041809163987636566,-0.72916263341903687,1.5980633497238159,1,-0.046398311853408813,-0.67853599786758423,1.1589303016662598,0.5,-0.13073661923408508,-0.63971465826034546,0.75795125961303711,0.5,-0.15942183136940002,-0.60329633951187134,0.6138908863067627,0.5,0.19850623607635498,-0.73030024766922,1.5742259025573731,1,0.29190325736999512,-0.609182596206665,1.2175279855728149,1,0.41794317960739136,-0.46663227677345276,0.785510778427124,0.5,0.38383051753044128,-0.42974779009819031,0.63892638683319092,0.5,0.13644599914550781,-0.24977894127368927,1.637303352355957,1,-0.24403724074363709,-0.493320494890213,1.4875940084457398,1,-0.22634239494800568,-0.41692376136779785,1.5289167165756226,1,0.27912387251853943,-0.66372179985046387,1.1475707292556763,0.5,0.30758947134017944,-0.6392132043838501,1.1650710105895996,1
1604056708921.334,0.12190568447113037,-0.74333512783050537,1.615035891532898,1,0.13046109676361084,-0.45935118198394775,1.6321367025375366,1,0.13740834593772888,-0.18043303489685059,1.6344168186187744,1,0.12077878415584564,-0.035384979099035263,1.6404581069946289,1,-0.033141020685434341,-0.29044434428215027,1.6756082773208618,1,-0.095626786351203918,-0.50049847364425659,1.7683128118515015,1,-0.16838464140892029,-0.47379052639007568,1.6349812746047974,1,-0.20243419706821442,-0.44710937142372131,1.5580111742019653,1,0.28767019510269165,-0.28898057341575623,1.5841697454452515,1,0.31385993957519531,-0.51048922538757324,1.5034005641937256,1,0.24656444787979126,-0.65882611274719238,1.3146800994873047,1,0.267492413520813,-0.65335589647293091,1.207550048828125,1,0.041323762387037277,-0.72896182537078857,1.5967714786529541,1,-0.047130748629570007,-0.678706705570221,1.1576472520828247,0.5,-0.13171203434467316,-0.64024209976196289,0.75666838884353638,0.5,-0.1604258120059967,-0.60381299257278442,0.612652063369751,0.5,0.19795520603656769,-0.73013961315155029,1.5733829736709595,1,0.29187002778053284,-0.60910296440124512,1.2167989015579224,1,0.41857209801673889,-0.46665862202644348,0.78492259979248047,0.5,0.3844304084777832,-0.42976564168930054,0.63835465908050537,0.5,0.13591289520263672,-0.24946984648704529,1.6362926959991455,1,-0.22024208307266235,-0.424654483795166,1.5159628391265869,1,-0.17482535541057587,-0.45733702182769775,1.523439884185791,1,0.26664483547210693,-0.67319220304489136,1.1555029153823853,0.5,0.28358569741249084,-0.6241716742515564,1.16567862033844,1
1604056708957.1973,0.12151316553354263,-0.74324655532836914,1.6143190860748291,1,0.12999197840690613,-0.45922112464904785,1.6313985586166382,1,0.13689719140529633,-0.18025703728199005,1.6336675882339478,1,0.11927158385515213,-0.035096891224384308,1.6388999223709106,1,-0.033767849206924438,-0.29054337739944458,1.6747214794158936,1,-0.095089845359325409,-0.49962007999420166,1.7580579519271851,1,-0.15711857378482819,-0.466583251953125,1.624447226524353,1,-0.18615631759166718,-0.44032561779022217,1.5442631244659424,1,0.2873634397983551,-0.28896147012710571,1.583558201789856,1,0.31337925791740417,-0.51081007719039917,1.5029391050338745,1,0.28202345967292786,-0.61982494592666626,1.3099167346954346,1,0.27408170700073242,-0.65007436275482178,1.2045607566833496,1,0.0409419871866703,-0.72889566421508789,1.5960154533386231,1,-0.047668088227510452,-0.67839783430099487,1.1569492816925049,0.5,-0.13240513205528259,-0.63970375061035156,0.75602275133132935,0.5,-0.16100496053695679,-0.60327816009521484,0.61198484897613525,0.5,0.19757133722305298,-0.73002356290817261,1.5727150440216065,1,0.29163074493408203,-0.60895389318466187,1.216180682182312,1,0.41851556301116943,-0.46646913886070251,0.78436505794525146,0.5,0.38447654247283936,-0.42958885431289673,0.637780487537384,0.5,0.13540856540203095,-0.24930411577224731,1.6355427503585815,1,-0.20079977810382843,-0.41738054156303406,1.5052491426467896,1,-0.156596839427948,-0.44561347365379333,1.5095789432525635,1,0.27510195970535278,-0.66480726003646851,1.1488186120986939,0.5,0.30838412046432495,-0.63984864950180054,1.1704285144805908,1
1604056708988.7068,0.12086582183837891,-0.74320429563522339,1.6136246919631958,1,0.12943778932094574,-0.45912393927574158,1.6307141780853272,1,0.13645771145820618,-0.18010614812374115,1.6329963207244873,1,0.11768438667058945,-0.034815464168787,1.6376066207885742,1,-0.034639298915863037,-0.29067328572273254,1.6738365888595581,1,-0.095192417502403259,-0.50235247611999512,1.7522369623184204,1,-0.17531588673591614,-0.4393506646156311,1.5285825729370117,1,-0.16839830577373505,-0.43601134419441223,1.5243197679519653,1,0.28680130839347839,-0.28904649615287781,1.5827860832214356,1,0.3127996027469635,-0.51126581430435181,1.5023460388183594,1,0.24435515701770783,-0.656402587890625,1.3068604469299316,1,0.2661285400390625,-0.65092611312866211,1.2111682891845703,1,0.040354378521442413,-0.72885614633560181,1.59531569480896,1,-0.048290979117155075,-0.67807936668396,1.1562873125076294,0.5,-0.13307099044322968,-0.63912153244018555,0.7553941011428833,0.5,-0.16159448027610779,-0.60267269611358643,0.61134755611419678,0.5,0.19689157605171204,-0.729970395565033,1.572035551071167,1,0.29133522510528564,-0.60888105630874634,1.2156122922897339,1,0.41870677471160889,-0.4663732647895813,0.78393632173538208,0.5,0.3847411572933197,-0.42947846651077271,0.63734650611877441,0.5,0.13493902981281281,-0.24916525185108185,1.63486647605896,1,-0.17821358144283295,-0.41112563014030457,1.4806739091873169,1,-0.13656216859817505,-0.43885084986686707,1.5005999803543091,1,0.26938813924789429,-0.66349935531616211,1.1448888778686523,0.5,0.28057518601417542,-0.622402012348175,1.1707223653793335,1
1604056709021.1438,0.12041125446557999,-0.74328458309173584,1.6129592657089233,1,0.12891606986522675,-0.45911222696304321,1.6300458908081055,1,0.13589151203632355,-0.17999443411827087,1.6323221921920776,1,0.11598546802997589,-0.034367114305496216,1.6365876197814941,1,-0.035565413534641266,-0.29100468754768372,1.6729999780654907,1,-0.090629510581493378,-0.50398159027099609,1.721788763999939,1,-0.15495309233665466,-0.43521493673324585,1.4946378469467163,1,-0.14976304769515991,-0.43260818719863892,1.4948725700378418,1,0.28634431958198547,-0.28904998302459717,1.5822007656097412,1,0.31226921081542969,-0.51144391298294067,1.5017440319061279,1,0.24432484805583954,-0.65628033876419067,1.3065328598022461,1,0.26629269123077393,-0.65057981014251709,1.2135088443756104,1,0.039903599768877029,-0.728992760181427,1.5944721698760986,1,-0.048693787306547165,-0.67805963754653931,1.1554511785507202,0.5,-0.13343441486358643,-0.63895785808563232,0.75456041097640991,0.5,-0.16184692084789276,-0.60250526666641235,0.6104971170425415,0.5,0.19645293056964874,-0.72999286651611328,1.5715295076370239,1,0.29119962453842163,-0.60877448320388794,1.2152328491210938,1,0.41895705461502075,-0.46610131859779358,0.78371751308441162,0.5,0.3850979208946228,-0.42921662330627441,0.637109637260437,0.5,0.13438166677951813,-0.24907812476158142,1.634192705154419,1,-0.15737204253673554,-0.40933102369308472,1.4603704214096069,1,-0.11649409681558609,-0.43191096186637878,1.4829199314117432,1,0.27020531892776489,-0.66504418849945068,1.1437121629714966,0.5,0.28160560131073,-0.62183362245559692,1.1698668003082275,1
